Name,Username,Message,Status
Kali,kalikaratestudio,"haha, kali, the 3 ex-wives, bitcoin crash, and still fighting — you’ve definitely seen it all and kept going, respect.  
do you do any coaching around that fighter mindset?",Error: Could not find Kali in search results.
Jake,jakeleiskewillis,"hey Jake, love how you're flipping the script on parenting—turning the chaos of yelling and guilt into confident, peaceful vibes. do you offer 1:1 coaching?",Message sent successfully.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[text()='Message']""}
  (Session info: chrome=130.0.6723.117); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001028295dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102821e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x000000010228c100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001022ce41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000102307ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001022c30fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001022c3d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001027f464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001027f7988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001027dba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001027f824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001027ccce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001028129dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000102812b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102821ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//div[text()='Message']""}
  (Session info: chrome=130.0.6723.117); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001048f15dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x00000001048e9e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104354100 cxxbridge1$string$len + 88404
3   chromedriver                        0x000000010439641c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001043cfba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010438b0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010438bd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001048bc64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001048bf988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001048a3a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001048c024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104894ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001048da9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x00000001048dab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x00000001048e9ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not click 'Message' button.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not click 'Message' button.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Error: Could not click 'Chat' button.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//textarea[contains(@placeholder, 'Message...')]""}
  (Session info: chrome=130.0.6723.117); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x00000001033f95dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x00000001033f1e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102e5c100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000102e9e41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000102ed7ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000102e930fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000102e93d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001033c464c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001033c7988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001033aba5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001033c824c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x000000010339cce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001033e29dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x00000001033e2b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x00000001033f1ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//textarea[contains(@placeholder, 'Message...')]""}
  (Session info: chrome=130.0.6723.117); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#no-such-element-exception
Stacktrace:
0   chromedriver                        0x0000000104b055dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104afde3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000104568100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001045aa41c cxxbridge1$string$len + 359536
4   chromedriver                        0x00000001045e3ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x000000010459f0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x000000010459fd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x0000000104ad064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x0000000104ad3988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x0000000104ab7a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x0000000104ad424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000104aa8ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x0000000104aee9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000104aeeb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000104afdad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: element not interactable
  (Session info: chrome=130.0.6723.117)
Stacktrace:
0   chromedriver                        0x00000001029415dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102939e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001023a3f70 cxxbridge1$string$len + 88004
3   chromedriver                        0x00000001023e140c cxxbridge1$string$len + 339040
4   chromedriver                        0x00000001023dfe74 cxxbridge1$string$len + 333512
5   chromedriver                        0x00000001023dca58 cxxbridge1$string$len + 320172
6   chromedriver                        0x000000010241fba8 cxxbridge1$string$len + 594940
7   chromedriver                        0x00000001023db0fc cxxbridge1$string$len + 313680
8   chromedriver                        0x00000001023dbd4c cxxbridge1$string$len + 316832
9   chromedriver                        0x000000010290c64c cxxbridge1$str$ptr + 3436672
10  chromedriver                        0x000000010290f988 cxxbridge1$str$ptr + 3449788
11  chromedriver                        0x00000001028f3a5c cxxbridge1$str$ptr + 3335312
12  chromedriver                        0x000000010291024c cxxbridge1$str$ptr + 3452032
13  chromedriver                        0x00000001028e4ce8 cxxbridge1$str$ptr + 3274524
14  chromedriver                        0x000000010292a9dc cxxbridge1$str$ptr + 3560464
15  chromedriver                        0x000000010292ab58 cxxbridge1$str$ptr + 3560844
16  chromedriver                        0x0000000102939ad4 cxxbridge1$str$ptr + 3622152
17  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
18  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,Message sent successfully.
dojo.creativo,hey! love how you guide coaches to actually build a profitable business on instagram instead of just growing followers. do you focus on 1:1 too or mainly group programs?,"Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001029315dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000102929e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000102394100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001023d641c cxxbridge1$string$len + 359536
4   chromedriver                        0x000000010240fba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x00000001023cb0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x00000001023cbd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001028fc64c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001028ff988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001028e3a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010290024c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001028d4ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010291a9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010291ab58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000102929ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
coachvalj,"hey val, loving your whole approach – unlocking blocks in minutes is a game changer. are you offering 1:1s right now?",Message sent successfully.
coach_ryan_h,"yo ryan, love how you blend dating, relationships, and life coaching into one offer—so rare and so needed today. are you still doing 1:1 sessions?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x00000001013255dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x000000010131de3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000100d88100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000100dca41c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100e03ba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000100dbf0fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000100dbfd4c cxxbridge1$string$len + 316832
7   chromedriver                        0x00000001012f064c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x00000001012f3988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x00000001012d7a5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x00000001012f424c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x00000001012c8ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x000000010130e9dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x000000010130eb58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x000000010131dad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
shaunholden_lifecoaching,you're really on point with helping business owners stop self sabotage so they can thrive. are you doing 1:1 sessions right now?,Message sent successfully.
thenourisherbh,"hey hamad, love how you're hitting on mindset, nutrition, and movement all together for wellbeing. do you offer 1:1 coaching?",Message sent successfully.
coachhamish,"
hey hamish, love how you've managed to blend your championship experience with 20+ years of coaching into actionable tutorials. do you still offer 1:1 coaching or is it all your tutorials now?","Error sending message: Message: stale element reference: stale element not found in the current frame
  (Session info: chrome=130.0.6723.117); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#stale-element-reference-exception
Stacktrace:
0   chromedriver                        0x000000010486d5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000104865e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x00000001042d0100 cxxbridge1$string$len + 88404
3   chromedriver                        0x00000001042d519c cxxbridge1$string$len + 109040
4   chromedriver                        0x00000001042d68a0 cxxbridge1$string$len + 114932
5   chromedriver                        0x00000001042d6918 cxxbridge1$string$len + 115052
6   chromedriver                        0x0000000104312f58 cxxbridge1$string$len + 362412
7   chromedriver                        0x0000000104312fdc cxxbridge1$string$len + 362544
8   chromedriver                        0x000000010430b2ec cxxbridge1$string$len + 330560
9   chromedriver                        0x0000000104308a58 cxxbridge1$string$len + 320172
10  chromedriver                        0x000000010434bba8 cxxbridge1$string$len + 594940
11  chromedriver                        0x00000001043070fc cxxbridge1$string$len + 313680
12  chromedriver                        0x0000000104307d4c cxxbridge1$string$len + 316832
13  chromedriver                        0x000000010483864c cxxbridge1$str$ptr + 3436672
14  chromedriver                        0x000000010483b988 cxxbridge1$str$ptr + 3449788
15  chromedriver                        0x000000010481fa5c cxxbridge1$str$ptr + 3335312
16  chromedriver                        0x000000010483c24c cxxbridge1$str$ptr + 3452032
17  chromedriver                        0x0000000104810ce8 cxxbridge1$str$ptr + 3274524
18  chromedriver                        0x00000001048569dc cxxbridge1$str$ptr + 3560464
19  chromedriver                        0x0000000104856b58 cxxbridge1$str$ptr + 3560844
20  chromedriver                        0x0000000104865ad4 cxxbridge1$str$ptr + 3622152
21  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
22  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
mindcoachhazel,"hey hazel, love how you bring neuroscience into the mental health and wellness space. really refreshing approach. do you offer 1:1 therapy sessions?",Message sent successfully.
death.care.coach,"hey katie, i love how you help people prepare for the toughest part of life with such care and intention. do you do 1:1 end of life planning?","Error sending message: Message: 
Stacktrace:
0   chromedriver                        0x000000010128d5dc cxxbridge1$str$ptr + 3653648
1   chromedriver                        0x0000000101285e3c cxxbridge1$str$ptr + 3623024
2   chromedriver                        0x0000000100cf0100 cxxbridge1$string$len + 88404
3   chromedriver                        0x0000000100d3241c cxxbridge1$string$len + 359536
4   chromedriver                        0x0000000100d6bba8 cxxbridge1$string$len + 594940
5   chromedriver                        0x0000000100d270fc cxxbridge1$string$len + 313680
6   chromedriver                        0x0000000100d27d4c cxxbridge1$string$len + 316832
7   chromedriver                        0x000000010125864c cxxbridge1$str$ptr + 3436672
8   chromedriver                        0x000000010125b988 cxxbridge1$str$ptr + 3449788
9   chromedriver                        0x000000010123fa5c cxxbridge1$str$ptr + 3335312
10  chromedriver                        0x000000010125c24c cxxbridge1$str$ptr + 3452032
11  chromedriver                        0x0000000101230ce8 cxxbridge1$str$ptr + 3274524
12  chromedriver                        0x00000001012769dc cxxbridge1$str$ptr + 3560464
13  chromedriver                        0x0000000101276b58 cxxbridge1$str$ptr + 3560844
14  chromedriver                        0x0000000101285ad4 cxxbridge1$str$ptr + 3622152
15  libsystem_pthread.dylib             0x000000018e8d72e4 _pthread_start + 136
16  libsystem_pthread.dylib             0x000000018e8d20fc thread_start + 8
"
