username,name,message
melissaparisfitness,Melissa,"Qualified. 

hey melissa, i love how you’re all about making the “motherload” lighter for new moms—seriously, kettlebells & pre/postnatal coaching? genius combo. do you offer 1:1 coaching?"
thesocialbarber,Season,love how you're out here making it super simple for people to level up with digital products! do you offer courses?
helping.hand.nutrition.rd,Jana,not-qualified
mirella_fitness,Mirella,"hey mirella, love how you're helping mums get strong and fit, especially with all that pregnancy & postpartum recovery magic you're doing! do you offer 1:1 coaching?"
reimbursement_dietitian,Amy,"okay amy, i love how you’re teaching dietitians how to make insurance work FOR them, haha. do you offer 1:1 help as well?"
fantheflame,Fan,haha i love how you're helping christian women lock in their dream marriages so quickly! do you offer 1:1 coaching?
travelercharly,Charly,"charly, i love how you’re out here changing the game for LGBT and BIPOC communities with making passive income, you don’t see that kind of unapologetic focus every day. do you still have availability for 1:1 coaching?"
atpeaceparents,At Peace,"absolutely love how you’re shifting paradigms for parents navigating PDA teens, must make such a huge difference in their fams! do you offer programs for just parents or teens too?"
yg_thecareergem,Yanira,"love how you're all about empowering mujeres to own their worth and close that pay gap, yanira! do you offer 1:1 coaching?"
melissaparisfitness,Melissa,"love how you're making motherhood a bit lighter for moms out there, especially with that pre/postnatal kettlebell work—so smart! do you offer 1:1 coaching?"
dorthahise,Dortha,love how you’re all about empowering women to not just run their biz better but keep their mental wellbeing in check too—so key for long-term success! do you offer 1:1s?
joyful_selling_for_creatives,Joyful,"wow, you've been teaching creatives since 2004? that's serious dedication - love how you’re blending life coaching with the business side for them 🙌 do you offer more 1:1 coaching too?"
tyler_narducci,Tyler,"yo Tyler, love how you're helping agencies scale like it's second nature lol. you do everything DFY?"
drjoyjacobs,Joy,"harvard + vogue + time + elle?! dang Joy, lol you've def built a powerhouse brand all about evidence and growth. do you offer virtual sessions?"
relindemoors,Relinde,"hey relinde, i love how you focus on helping coaches integrate their skills and actually *embody* ease instead of forcing hustle all the time. do you offer 1:1s for that purpose & prosper experience?"
